projeto,project_name,metodo,modo,n_runs,AE_mean,AE_best,AE_std,AT_mean,AC_mean,tempo_mean,tempo_median,tempo_total,gens_mean,best_seed,best_team
P1,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.48174609,0.5423281,0.02798859,0.55158756,0.47666667,24.016673,22.331209,720.500198,45.9,15,"[560, 467, 492, 544]"
P10,SaaS Web de Rastreamento e Gestão com Angular,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.64602964,0.72407421,0.05513807,0.68472243,0.64888889,31.043501,31.748273,931.305025,49.233333,1,"[544, 3, 247, 36]"
P11,App Mobile React Native com IA e Cloud AWS,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.45068352,0.53839317,0.03607033,0.46931241,0.52111111,33.746739,33.334418,1012.402183,47.833333,26,"[544, 36, 247, 437]"
P12,Plataforma IoT Industrial com Integração Web,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.64308206,0.69761921,0.03387724,0.67156097,0.65444444,41.035835,44.197977,1231.075043,47.333333,3,"[36, 3, 247, 544]"
P2,App Mobile Híbrido com Painel Web,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.43828711,0.49173285,0.03814508,0.46355836,0.49666667,25.948576,25.683626,778.45728,46.9,28,"[269, 89, 299, 198]"
P3,Plataforma IoT de Sensoriamento em Nuvem,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.47140887,0.53756644,0.03019654,0.47744732,0.49888889,23.835,22.382757,715.049991,48.3,7,"[27, 247, 36, 183]"
P4,SaaS Web de Relatórios Analíticos,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.57442468,0.61931241,0.02836804,0.62056899,0.57888889,20.82862,21.464223,624.85861,46.133333,20,"[290, 94, 437, 560]"
P5,Plataforma Crítica Web+Cloud,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.41503494,0.45415959,0.02167797,0.39872154,0.5,24.174882,23.792243,725.246452,46.466667,8,"[544, 437, 247, 36]"
P6,Plataforma Web de Gestão com IA e Integração CRM,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.47356494,0.53650824,0.04276091,0.49689182,0.50888889,27.91898,29.631486,837.569388,46.933333,15,"[437, 27, 290, 560]"
P7,Plataforma Web Angular + Spring Boot com IA Generativa,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.55718052,0.65793671,0.04517377,0.57731513,0.59555556,39.69571,29.437216,1190.871301,48.433333,11,"[36, 3, 544, 247]"
P8,App Mobile IoT com Backend Cloud,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.45895179,0.53406091,0.03481879,0.51683229,0.47555556,39.314217,30.007322,1179.426518,47.233333,22,"[269, 356, 198, 299]"
P9,Plataforma Cloud de Processamento de Documentos com IA,GA_CALIBRADO_CCC,AE_FULL_SURROGATE,30,0.62052034,0.66891542,0.03810249,0.6425927,0.62444444,25.462064,30.387662,763.861922,45.8,1,"[36, 544, 290, 27]"
