projeto,modo,status,AT,AC,AE,equipe,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,project_name,metodo,seed,fitness_final,gens_executed,stop_reason,dom_score,eco_score,ling_score,population_size,generations,elitism_count,mutation_rate,crossover_rate,stable_gens,crossover_operator,timestamp
P1,AE_FULL_SURROGATE,OK,0.5873019444444445,0.4333333333333333,0.4589947685185185,"[315, 467, 560, 449]",26.008406,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,1,0.4589947685185185,50,max_gens,0.6428575,0.5,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:56:20
P1,AE_FULL_SURROGATE,OK,0.4444446944444444,0.5333333333333333,0.4592594675925925,"[89, 27, 183, 194]",20.572842,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,2,0.4592594675925925,43,stable_gens_no_improve,0.21428575,0.5,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:56:41
P1,AE_FULL_SURROGATE,OK,0.5396829444444445,0.4666666666666666,0.4788360462962962,"[623, 397, 89, 85]",29.892369,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,3,0.4788360462962962,50,max_gens,0.6428575,0.071429,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:57:11
P1,AE_FULL_SURROGATE,OK,0.4444446944444444,0.4666666666666666,0.44814835648148144,"[560, 615, 297, 351]",18.230536,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,4,0.44814835648148144,32,stable_gens_no_improve,0.21428575,0.5,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:57:29
P1,AE_FULL_SURROGATE,OK,0.5396829444444445,0.4666666666666666,0.4788360462962962,"[89, 27, 397, 467]",24.194627,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,5,0.4788360462962962,50,max_gens,0.6428575,0.071429,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:57:53
P1,AE_FULL_SURROGATE,OK,0.5873019444444445,0.4666666666666667,0.48677254629629635,"[449, 27, 560, 7]",25.154499,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,6,0.48677254629629635,50,max_gens,0.7857145,0.071429,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:58:19
P1,AE_FULL_SURROGATE,OK,0.5396829444444445,0.5333333333333333,0.5343916018518519,"[467, 544, 560, 305]",20.609146,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,7,0.5343916018518519,50,max_gens,0.6428575,0.071429,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:58:39
P1,AE_FULL_SURROGATE,OK,0.5396829444444445,0.4666666666666667,0.47883604629629634,"[560, 540, 36, 544]",20.860689,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,8,0.47883604629629634,50,max_gens,0.6428575,0.071429,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:59:00
P1,AE_FULL_SURROGATE,OK,0.6269841388888889,0.4666666666666667,0.4933862453703704,"[560, 448, 89, 544]",31.425486,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,9,0.4933862453703704,50,max_gens,0.21428575,0.0,1.0,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:59:31
P1,AE_FULL_SURROGATE,OK,0.6269841388888889,0.4,0.4378306898148148,"[89, 560, 531, 94]",22.576799,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,10,0.4378306898148148,32,stable_gens_no_improve,0.21428575,0.0,1.0,150,50,1,0.01,0.6,20,ccc,2026-06-22T08:59:54
P1,AE_FULL_SURROGATE,OK,0.5396829444444445,0.4666666666666666,0.4788360462962962,"[89, 85, 540, 397]",27.429096,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,11,0.4788360462962962,50,max_gens,0.6428575,0.071429,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T09:00:21
P1,AE_FULL_SURROGATE,OK,0.5396829444444445,0.4666666666666667,0.47883604629629634,"[324, 560, 544, 540]",16.28515,,,,Manutenção de Portal Corporativo .NET,GA_CALIBRADO_CCC,12,0.47883604629629634,33,stable_gens_no_improve,0.6428575,0.071429,0.571429,150,50,1,0.01,0.6,20,ccc,2026-06-22T09:00:38
