projeto,modo,status,AT,AC,AE,equipe,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok
P1,AE_FULL_EXACT,Optimal,0.952381,0.725,0.762897,"[282, 449, 467, 540]",598.7,True,True,True
P2,AE_FULL_EXACT,Optimal,0.714286,0.566667,0.59127,"[198, 204, 269, 356]",601.7,True,True,True
P3,AE_FULL_EXACT,Optimal,0.525,0.525,0.525,"[94, 183, 365, 494]",590.6,True,True,True
P4,AE_FULL_EXACT,Optimal,0.725,0.725,0.725,"[46, 261, 326, 500]",593.06,True,True,True
P5,AE_FULL_EXACT,Optimal,0.896825,0.325,0.420304,"[5, 181, 631, 688]",598.21,True,True,True
P6,AE_FULL_EXACT,Optimal,0.666667,0.733333,0.677778,"[114, 291, 537, 641]",591.12,True,True,True
P7,AE_FULL_EXACT,Optimal,0.928571,0.566667,0.626984,"[7, 194, 363, 637]",591.05,True,True,True
P8,AE_FULL_EXACT,Optimal,0.611111,0.4,0.435185,"[27, 480, 553, 606]",596.3,True,True,True
P9,AE_FULL_EXACT,Optimal,0.616666,0.616667,0.616667,"[402, 571, 700, 720]",584.87,True,True,True
P10,AE_FULL_EXACT,Optimal,0.633333,0.633333,0.633333,"[65, 94, 194, 543]",904.32,True,True,True
P11,AE_FULL_EXACT,Optimal,0.960317,0.483333,0.562831,"[7, 560, 606, 631]",601.81,True,True,True
P12,AE_FULL_EXACT,Optimal,0.944444,0.625,0.678241,"[336, 394, 423, 458]",597.87,True,True,True
